"Theme","IndDropdown","TimePeriod","Sex","Age","CategoryType","Category","SubCategory","Count","Denominator","Value","LCI","UCI","YAxisLabel","ValueNote"
"Life expectancy","Life expectancy","2015","Male","All ages","Region","East Midlands","East Midlands",NA,NA,79.2,79,79.4,"Life expectancy (years)",NA
"Life expectancy","Life expectancy","2015","Male","All ages","Region","East of England","East of England",NA,NA,80.3,80.2,80.5,"Life expectancy (years)",NA
"Life expectancy","Life expectancy","2015","Male","All ages","Region","East of England","East of England",NA,NA,80.3,80.2,80.5,"Life expectancy (years)",NA
"Life expectancy","Life expectancy","2015","Male","All ages","Region","London","London",NA,NA,80,79.9,80.1,"Life expectancy (years)",NA
"Life expectancy","Life expectancy","2015","Male","All ages","Region","London","London",NA,NA,80,79.9,80.1,"Life expectancy (years)",NA
"Life expectancy","Life expectancy","2015","Male","All ages","Region","North East","North East",NA,NA,77.9,77.6,78.1,"Life expectancy (years)",NA
"Life expectancy","Life expectancy","2015","Male","All ages","Region","North East","North East",NA,NA,77.9,77.6,78.1,"Life expectancy (years)",NA
"Life expectancy","Life expectancy","2015","Male","All ages","Region","North West","North West",NA,NA,78.1,78,78.3,"Life expectancy (years)",NA
"Life expectancy","Life expectancy","2015","Male","All ages","Region","North West","North West",NA,NA,78.1,78,78.3,"Life expectancy (years)",NA
"Life expectancy","Life expectancy","2015","Male","All ages","Region","South East","South East",NA,NA,80.5,80.4,80.6,"Life expectancy (years)",NA
"Life expectancy","Life expectancy","2015","Male","All ages","Region","South East","South East",NA,NA,80.5,80.4,80.6,"Life expectancy (years)",NA
"Life expectancy","Life expectancy","2015","Male","All ages","Region","South West","South West",NA,NA,80.1,79.9,80.2,"Life expectancy (years)",NA
"Life expectancy","Life expectancy","2015","Male","All ages","Region","South West","South West",NA,NA,80.1,79.9,80.2,"Life expectancy (years)",NA
"Life expectancy","Life expectancy","2015","Male","All ages","Region","West Midlands","West Midlands",NA,NA,78.7,78.5,78.9,"Life expectancy (years)",NA
"Life expectancy","Life expectancy","2015","Male","All ages","Region","West Midlands","West Midlands",NA,NA,78.7,78.5,78.9,"Life expectancy (years)",NA
"Life expectancy","Life expectancy","2015","Male","All ages","Region","Yorkshire and The Humber","Yorkshire and The Humber",NA,NA,78.5,78.3,78.6,"Life expectancy (years)",NA
"Life expectancy","Life expectancy","2015","Male","All ages","Region","Yorkshire and The Humber","Yorkshire and The Humber",NA,NA,78.5,78.3,78.6,"Life expectancy (years)",NA
"Life expectancy","Life expectancy","2015","Female","All ages","Region","East Midlands","East Midlands",NA,NA,82.7,82.5,82.8,"Life expectancy (years)",NA
"Life expectancy","Life expectancy","2015","Female","All ages","Region","East Midlands","East Midlands",NA,NA,82.7,82.5,82.8,"Life expectancy (years)",NA
"Life expectancy","Life expectancy","2015","Female","All ages","Region","East of England","East of England",NA,NA,83.6,83.5,83.7,"Life expectancy (years)",NA
"Life expectancy","Life expectancy","2015","Female","All ages","Region","East of England","East of England",NA,NA,83.6,83.5,83.7,"Life expectancy (years)",NA
"Life expectancy","Life expectancy","2015","Female","All ages","Region","London","London",NA,NA,83.9,83.8,84.1,"Life expectancy (years)",NA
"Life expectancy","Life expectancy","2015","Female","All ages","Region","London","London",NA,NA,83.9,83.8,84.1,"Life expectancy (years)",NA
"Life expectancy","Life expectancy","2015","Female","All ages","Region","North East","North East",NA,NA,81.4,81.2,81.6,"Life expectancy (years)",NA
"Life expectancy","Life expectancy","2015","Female","All ages","Region","North East","North East",NA,NA,81.4,81.2,81.6,"Life expectancy (years)",NA
"Life expectancy","Life expectancy","2015","Female","All ages","Region","North West","North West",NA,NA,81.6,81.5,81.8,"Life expectancy (years)",NA
"Life expectancy","Life expectancy","2015","Female","All ages","Region","North West","North West",NA,NA,81.6,81.5,81.8,"Life expectancy (years)",NA
"Life expectancy","Life expectancy","2015","Female","All ages","Region","South East","South East",NA,NA,83.9,83.8,84,"Life expectancy (years)",NA
"Life expectancy","Life expectancy","2015","Female","All ages","Region","South East","South East",NA,NA,83.9,83.8,84,"Life expectancy (years)",NA
"Life expectancy","Life expectancy","2015","Female","All ages","Region","South West","South West",NA,NA,83.7,83.5,83.8,"Life expectancy (years)",NA
"Life expectancy","Life expectancy","2015","Female","All ages","Region","South West","South West",NA,NA,83.7,83.5,83.8,"Life expectancy (years)",NA
"Life expectancy","Life expectancy","2015","Female","All ages","Region","West Midlands","West Midlands",NA,NA,82.6,82.4,82.7,"Life expectancy (years)",NA
"Life expectancy","Life expectancy","2015","Female","All ages","Region","West Midlands","West Midlands",NA,NA,82.6,82.4,82.7,"Life expectancy (years)",NA
"Life expectancy","Life expectancy","2015","Female","All ages","Region","Yorkshire and The Humber","Yorkshire and The Humber",NA,NA,82.3,82.1,82.4,"Life expectancy (years)",NA
"Life expectancy","Life expectancy","2015","Female","All ages","Region","Yorkshire and The Humber","Yorkshire and The Humber",NA,NA,82.3,82.1,82.4,"Life expectancy (years)",NA
"Life expectancy","Life expectancy","2016","Male","All ages","Region","East Midlands","East Midlands",NA,NA,79.4,79.3,79.6,"Life expectancy (years)",NA
"Life expectancy","Life expectancy","2016","Male","All ages","Region","East Midlands","East Midlands",NA,NA,79.4,79.3,79.6,"Life expectancy (years)",NA
"Life expectancy","Life expectancy","2016","Male","All ages","Region","East of England","East of England",NA,NA,80.4,80.2,80.5,"Life expectancy (years)",NA
"Life expectancy","Life expectancy","2016","Male","All ages","Region","East of England","East of England",NA,NA,80.4,80.2,80.5,"Life expectancy (years)",NA
"Life expectancy","Life expectancy","2016","Male","All ages","Region","London","London",NA,NA,80.7,80.5,80.8,"Life expectancy (years)",NA
"Life expectancy","Life expectancy","2016","Male","All ages","Region","London","London",NA,NA,80.7,80.5,80.8,"Life expectancy (years)",NA
"Life expectancy","Life expectancy","2016","Male","All ages","Region","North East","North East",NA,NA,77.9,77.7,78.2,"Life expectancy (years)",NA
"Life expectancy","Life expectancy","2016","Male","All ages","Region","North East","North East",NA,NA,77.9,77.7,78.2,"Life expectancy (years)",NA
"Life expectancy","Life expectancy","2016","Male","All ages","Region","North West","North West",NA,NA,78.2,78.1,78.3,"Life expectancy (years)",NA
"Life expectancy","Life expectancy","2016","Male","All ages","Region","North West","North West",NA,NA,78.2,78.1,78.3,"Life expectancy (years)",NA
"Life expectancy","Life expectancy","2016","Male","All ages","Region","South East","South East",NA,NA,80.6,80.5,80.7,"Life expectancy (years)",NA
"Life expectancy","Life expectancy","2016","Male","All ages","Region","South East","South East",NA,NA,80.6,80.5,80.7,"Life expectancy (years)",NA
"Life expectancy","Life expectancy","2016","Male","All ages","Region","South West","South West",NA,NA,80.1,80,80.3,"Life expectancy (years)",NA
"Life expectancy","Life expectancy","2016","Male","All ages","Region","South West","South West",NA,NA,80.1,80,80.3,"Life expectancy (years)",NA
"Life expectancy","Life expectancy","2016","Male","All ages","Region","West Midlands","West Midlands",NA,NA,78.8,78.6,78.9,"Life expectancy (years)",NA
"Life expectancy","Life expectancy","2016","Male","All ages","Region","West Midlands","West Midlands",NA,NA,78.8,78.6,78.9,"Life expectancy (years)",NA
"Life expectancy","Life expectancy","2016","Male","All ages","Region","Yorkshire and The Humber","Yorkshire and The Humber",NA,NA,78.8,78.6,78.9,"Life expectancy (years)",NA
"Life expectancy","Life expectancy","2016","Male","All ages","Region","Yorkshire and The Humber","Yorkshire and The Humber",NA,NA,78.8,78.6,78.9,"Life expectancy (years)",NA
"Life expectancy","Life expectancy","2016","Female","All ages","Region","East Midlands","East Midlands",NA,NA,83,82.8,83.1,"Life expectancy (years)",NA
"Life expectancy","Life expectancy","2016","Female","All ages","Region","East Midlands","East Midlands",NA,NA,83,82.8,83.1,"Life expectancy (years)",NA
"Life expectancy","Life expectancy","2016","Female","All ages","Region","East of England","East of England",NA,NA,83.7,83.6,83.8,"Life expectancy (years)",NA
"Life expectancy","Life expectancy","2016","Female","All ages","Region","East of England","East of England",NA,NA,83.7,83.6,83.8,"Life expectancy (years)",NA
"Life expectancy","Life expectancy","2016","Female","All ages","Region","London","London",NA,NA,84.5,84.4,84.6,"Life expectancy (years)",NA
"Life expectancy","Life expectancy","2016","Female","All ages","Region","London","London",NA,NA,84.5,84.4,84.6,"Life expectancy (years)",NA
"Life expectancy","Life expectancy","2016","Female","All ages","Region","North East","North East",NA,NA,81.5,81.3,81.8,"Life expectancy (years)",NA
"Life expectancy","Life expectancy","2016","Female","All ages","Region","North East","North East",NA,NA,81.5,81.3,81.8,"Life expectancy (years)",NA
"Life expectancy","Life expectancy","2016","Female","All ages","Region","North West","North West",NA,NA,81.7,81.5,81.8,"Life expectancy (years)",NA
"Life expectancy","Life expectancy","2016","Female","All ages","Region","North West","North West",NA,NA,81.7,81.5,81.8,"Life expectancy (years)",NA
"Life expectancy","Life expectancy","2016","Female","All ages","Region","South East","South East",NA,NA,84,83.9,84.1,"Life expectancy (years)",NA
"Life expectancy","Life expectancy","2016","Female","All ages","Region","South East","South East",NA,NA,84,83.9,84.1,"Life expectancy (years)",NA
"Life expectancy","Life expectancy","2016","Female","All ages","Region","South West","South West",NA,NA,83.6,83.5,83.8,"Life expectancy (years)",NA
"Life expectancy","Life expectancy","2016","Female","All ages","Region","South West","South West",NA,NA,83.6,83.5,83.8,"Life expectancy (years)",NA
"Life expectancy","Life expectancy","2016","Female","All ages","Region","West Midlands","West Midlands",NA,NA,82.7,82.6,82.9,"Life expectancy (years)",NA
"Life expectancy","Life expectancy","2016","Female","All ages","Region","West Midlands","West Midlands",NA,NA,82.7,82.6,82.9,"Life expectancy (years)",NA
"Life expectancy","Life expectancy","2016","Female","All ages","Region","Yorkshire and The Humber","Yorkshire and The Humber",NA,NA,82.4,82.3,82.6,"Life expectancy (years)",NA
"Life expectancy","Life expectancy","2016","Female","All ages","Region","Yorkshire and The Humber","Yorkshire and The Humber",NA,NA,82.4,82.3,82.6,"Life expectancy (years)",NA
"Life expectancy","Life expectancy","2017","Male","All ages","Region","East Midlands","East Midlands",NA,NA,79.5,79.3,79.6,"Life expectancy (years)",NA
"Life expectancy","Life expectancy","2017","Male","All ages","Region","East Midlands","East Midlands",NA,NA,79.5,79.3,79.6,"Life expectancy (years)",NA
"Life expectancy","Life expectancy","2017","Male","All ages","Region","East of England","East of England",NA,NA,80.4,80.2,80.5,"Life expectancy (years)",NA
"Life expectancy","Life expectancy","2017","Male","All ages","Region","East of England","East of England",NA,NA,80.4,80.2,80.5,"Life expectancy (years)",NA
"Life expectancy","Life expectancy","2017","Male","All ages","Region","London","London",NA,NA,80.7,80.6,80.9,"Life expectancy (years)",NA
"Life expectancy","Life expectancy","2017","Male","All ages","Region","London","London",NA,NA,80.7,80.6,80.9,"Life expectancy (years)",NA
"Life expectancy","Life expectancy","2017","Male","All ages","Region","North East","North East",NA,NA,78,77.8,78.3,"Life expectancy (years)",NA
"Life expectancy","Life expectancy","2017","Male","All ages","Region","North East","North East",NA,NA,78,77.8,78.3,"Life expectancy (years)",NA
"Life expectancy","Life expectancy","2017","Male","All ages","Region","North West","North West",NA,NA,78.2,78.1,78.4,"Life expectancy (years)",NA
"Life expectancy","Life expectancy","2017","Male","All ages","Region","North West","North West",NA,NA,78.2,78.1,78.4,"Life expectancy (years)",NA
"Life expectancy","Life expectancy","2017","Male","All ages","Region","South East","South East",NA,NA,80.6,80.5,80.7,"Life expectancy (years)",NA
"Life expectancy","Life expectancy","2017","Male","All ages","Region","South East","South East",NA,NA,80.6,80.5,80.7,"Life expectancy (years)",NA
"Life expectancy","Life expectancy","2017","Male","All ages","Region","South West","South West",NA,NA,80.4,80.3,80.6,"Life expectancy (years)",NA
"Life expectancy","Life expectancy","2017","Male","All ages","Region","South West","South West",NA,NA,80.4,80.3,80.6,"Life expectancy (years)",NA
"Life expectancy","Life expectancy","2017","Male","All ages","Region","West Midlands","West Midlands",NA,NA,78.9,78.8,79.1,"Life expectancy (years)",NA
"Life expectancy","Life expectancy","2017","Male","All ages","Region","West Midlands","West Midlands",NA,NA,78.9,78.8,79.1,"Life expectancy (years)",NA
"Life expectancy","Life expectancy","2017","Male","All ages","Region","Yorkshire and The Humber","Yorkshire and The Humber",NA,NA,78.7,78.6,78.9,"Life expectancy (years)",NA
"Life expectancy","Life expectancy","2017","Male","All ages","Region","Yorkshire and The Humber","Yorkshire and The Humber",NA,NA,78.7,78.6,78.9,"Life expectancy (years)",NA
"Life expectancy","Life expectancy","2017","Female","All ages","Region","East Midlands","East Midlands",NA,NA,82.9,82.7,83.1,"Life expectancy (years)",NA
"Life expectancy","Life expectancy","2017","Female","All ages","Region","East Midlands","East Midlands",NA,NA,82.9,82.7,83.1,"Life expectancy (years)",NA
"Life expectancy","Life expectancy","2017","Female","All ages","Region","East of England","East of England",NA,NA,83.7,83.6,83.9,"Life expectancy (years)",NA
"Life expectancy","Life expectancy","2017","Female","All ages","Region","East of England","East of England",NA,NA,83.7,83.6,83.9,"Life expectancy (years)",NA
"Life expectancy","Life expectancy","2017","Female","All ages","Region","London","London",NA,NA,84.5,84.4,84.7,"Life expectancy (years)",NA
"Life expectancy","Life expectancy","2017","Female","All ages","Region","London","London",NA,NA,84.5,84.4,84.7,"Life expectancy (years)",NA
"Life expectancy","Life expectancy","2017","Female","All ages","Region","North East","North East",NA,NA,81.8,81.6,82,"Life expectancy (years)",NA
"Life expectancy","Life expectancy","2017","Female","All ages","Region","North East","North East",NA,NA,81.8,81.6,82,"Life expectancy (years)",NA
"Life expectancy","Life expectancy","2017","Female","All ages","Region","North West","North West",NA,NA,82,81.9,82.1,"Life expectancy (years)",NA
"Life expectancy","Life expectancy","2017","Female","All ages","Region","North West","North West",NA,NA,82,81.9,82.1,"Life expectancy (years)",NA
"Life expectancy","Life expectancy","2017","Female","All ages","Region","South East","South East",NA,NA,84.1,84,84.2,"Life expectancy (years)",NA
"Life expectancy","Life expectancy","2017","Female","All ages","Region","South East","South East",NA,NA,84.1,84,84.2,"Life expectancy (years)",NA
"Life expectancy","Life expectancy","2017","Female","All ages","Region","South West","South West",NA,NA,83.9,83.8,84,"Life expectancy (years)",NA
"Life expectancy","Life expectancy","2017","Female","All ages","Region","South West","South West",NA,NA,83.9,83.8,84,"Life expectancy (years)",NA
"Life expectancy","Life expectancy","2017","Female","All ages","Region","West Midlands","West Midlands",NA,NA,82.8,82.6,82.9,"Life expectancy (years)",NA
"Life expectancy","Life expectancy","2017","Female","All ages","Region","West Midlands","West Midlands",NA,NA,82.8,82.6,82.9,"Life expectancy (years)",NA
"Life expectancy","Life expectancy","2017","Female","All ages","Region","Yorkshire and The Humber","Yorkshire and The Humber",NA,NA,82.5,82.3,82.6,"Life expectancy (years)",NA
"Life expectancy","Life expectancy","2017","Female","All ages","Region","Yorkshire and The Humber","Yorkshire and The Humber",NA,NA,82.5,82.3,82.6,"Life expectancy (years)",NA
"Life expectancy","Life expectancy","2018","Male","All ages","Region","East Midlands","East Midlands",NA,NA,79.3,79.2,79.5,"Life expectancy (years)",NA
"Life expectancy","Life expectancy","2018","Male","All ages","Region","East Midlands","East Midlands",NA,NA,79.3,79.2,79.5,"Life expectancy (years)",NA
"Life expectancy","Life expectancy","2018","Male","All ages","Region","East of England","East of England",NA,NA,80.2,80.1,80.4,"Life expectancy (years)",NA
"Life expectancy","Life expectancy","2018","Male","All ages","Region","East of England","East of England",NA,NA,80.2,80.1,80.4,"Life expectancy (years)",NA
"Life expectancy","Life expectancy","2018","Male","All ages","Region","London","London",NA,NA,80.7,80.6,80.9,"Life expectancy (years)",NA
"Life expectancy","Life expectancy","2018","Male","All ages","Region","London","London",NA,NA,80.7,80.6,80.9,"Life expectancy (years)",NA
"Life expectancy","Life expectancy","2018","Male","All ages","Region","North East","North East",NA,NA,77.8,77.6,78,"Life expectancy (years)",NA
"Life expectancy","Life expectancy","2018","Male","All ages","Region","North East","North East",NA,NA,77.8,77.6,78,"Life expectancy (years)",NA
"Life expectancy","Life expectancy","2018","Male","All ages","Region","North West","North West",NA,NA,78.4,78.2,78.5,"Life expectancy (years)",NA
"Life expectancy","Life expectancy","2018","Male","All ages","Region","North West","North West",NA,NA,78.4,78.2,78.5,"Life expectancy (years)",NA
"Life expectancy","Life expectancy","2018","Male","All ages","Region","South East","South East",NA,NA,80.7,80.6,80.9,"Life expectancy (years)",NA
"Life expectancy","Life expectancy","2018","Male","All ages","Region","South East","South East",NA,NA,80.7,80.6,80.9,"Life expectancy (years)",NA
"Life expectancy","Life expectancy","2018","Male","All ages","Region","South West","South West",NA,NA,80.2,80,80.4,"Life expectancy (years)",NA
"Life expectancy","Life expectancy","2018","Male","All ages","Region","South West","South West",NA,NA,80.2,80,80.4,"Life expectancy (years)",NA
"Life expectancy","Life expectancy","2018","Male","All ages","Region","West Midlands","West Midlands",NA,NA,78.9,78.7,79,"Life expectancy (years)",NA
"Life expectancy","Life expectancy","2018","Male","All ages","Region","West Midlands","West Midlands",NA,NA,78.9,78.7,79,"Life expectancy (years)",NA
"Life expectancy","Life expectancy","2018","Male","All ages","Region","Yorkshire and The Humber","Yorkshire and The Humber",NA,NA,78.7,78.5,78.8,"Life expectancy (years)",NA
"Life expectancy","Life expectancy","2018","Male","All ages","Region","Yorkshire and The Humber","Yorkshire and The Humber",NA,NA,78.7,78.5,78.8,"Life expectancy (years)",NA
"Life expectancy","Life expectancy","2018","Female","All ages","Region","East Midlands","East Midlands",NA,NA,82.8,82.6,82.9,"Life expectancy (years)",NA
"Life expectancy","Life expectancy","2018","Female","All ages","Region","East Midlands","East Midlands",NA,NA,82.8,82.6,82.9,"Life expectancy (years)",NA
"Life expectancy","Life expectancy","2018","Female","All ages","Region","East of England","East of England",NA,NA,83.8,83.6,83.9,"Life expectancy (years)",NA
"Life expectancy","Life expectancy","2018","Female","All ages","Region","East of England","East of England",NA,NA,83.8,83.6,83.9,"Life expectancy (years)",NA
"Life expectancy","Life expectancy","2018","Female","All ages","Region","London","London",NA,NA,84.5,84.4,84.7,"Life expectancy (years)",NA
"Life expectancy","Life expectancy","2018","Female","All ages","Region","London","London",NA,NA,84.5,84.4,84.7,"Life expectancy (years)",NA
"Life expectancy","Life expectancy","2018","Female","All ages","Region","North East","North East",NA,NA,81.7,81.5,81.9,"Life expectancy (years)",NA
"Life expectancy","Life expectancy","2018","Female","All ages","Region","North East","North East",NA,NA,81.7,81.5,81.9,"Life expectancy (years)",NA
"Life expectancy","Life expectancy","2018","Female","All ages","Region","North West","North West",NA,NA,82,81.9,82.1,"Life expectancy (years)",NA
"Life expectancy","Life expectancy","2018","Female","All ages","Region","North West","North West",NA,NA,82,81.9,82.1,"Life expectancy (years)",NA
"Life expectancy","Life expectancy","2018","Female","All ages","Region","South East","South East",NA,NA,84.2,84.1,84.3,"Life expectancy (years)",NA
"Life expectancy","Life expectancy","2018","Female","All ages","Region","South East","South East",NA,NA,84.2,84.1,84.3,"Life expectancy (years)",NA
"Life expectancy","Life expectancy","2018","Female","All ages","Region","South West","South West",NA,NA,83.9,83.8,84,"Life expectancy (years)",NA
"Life expectancy","Life expectancy","2018","Female","All ages","Region","South West","South West",NA,NA,83.9,83.8,84,"Life expectancy (years)",NA
"Life expectancy","Life expectancy","2018","Female","All ages","Region","West Midlands","West Midlands",NA,NA,82.6,82.4,82.7,"Life expectancy (years)",NA
"Life expectancy","Life expectancy","2018","Female","All ages","Region","West Midlands","West Midlands",NA,NA,82.6,82.4,82.7,"Life expectancy (years)",NA
"Life expectancy","Life expectancy","2018","Female","All ages","Region","Yorkshire and The Humber","Yorkshire and The Humber",NA,NA,82.3,82.2,82.5,"Life expectancy (years)",NA
"Life expectancy","Life expectancy","2018","Female","All ages","Region","Yorkshire and The Humber","Yorkshire and The Humber",NA,NA,82.3,82.2,82.5,"Life expectancy (years)",NA
"Life expectancy","Life expectancy","2019","Male","All ages","Region","East Midlands","East Midlands",NA,NA,79.7,79.5,79.9,"Life expectancy (years)",NA
"Life expectancy","Life expectancy","2019","Male","All ages","Region","East Midlands","East Midlands",NA,NA,79.7,79.5,79.9,"Life expectancy (years)",NA
"Life expectancy","Life expectancy","2019","Male","All ages","Region","East of England","East of England",NA,NA,80.7,80.6,80.9,"Life expectancy (years)",NA
"Life expectancy","Life expectancy","2019","Male","All ages","Region","East of England","East of England",NA,NA,80.7,80.6,80.9,"Life expectancy (years)",NA
"Life expectancy","Life expectancy","2019","Male","All ages","Region","London","London",NA,NA,81.3,81.1,81.4,"Life expectancy (years)",NA
"Life expectancy","Life expectancy","2019","Male","All ages","Region","London","London",NA,NA,81.3,81.1,81.4,"Life expectancy (years)",NA
"Life expectancy","Life expectancy","2019","Male","All ages","Region","North East","North East",NA,NA,78.2,78,78.5,"Life expectancy (years)",NA
"Life expectancy","Life expectancy","2019","Male","All ages","Region","North East","North East",NA,NA,78.2,78,78.5,"Life expectancy (years)",NA
"Life expectancy","Life expectancy","2019","Male","All ages","Region","North West","North West",NA,NA,78.5,78.4,78.7,"Life expectancy (years)",NA
"Life expectancy","Life expectancy","2019","Male","All ages","Region","North West","North West",NA,NA,78.5,78.4,78.7,"Life expectancy (years)",NA
"Life expectancy","Life expectancy","2019","Male","All ages","Region","South East","South East",NA,NA,81,80.9,81.2,"Life expectancy (years)",NA
"Life expectancy","Life expectancy","2019","Male","All ages","Region","South East","South East",NA,NA,81,80.9,81.2,"Life expectancy (years)",NA
"Life expectancy","Life expectancy","2019","Male","All ages","Region","South West","South West",NA,NA,80.6,80.5,80.8,"Life expectancy (years)",NA
"Life expectancy","Life expectancy","2019","Male","All ages","Region","South West","South West",NA,NA,80.6,80.5,80.8,"Life expectancy (years)",NA
"Life expectancy","Life expectancy","2019","Male","All ages","Region","West Midlands","West Midlands",NA,NA,79.3,79.1,79.4,"Life expectancy (years)",NA
"Life expectancy","Life expectancy","2019","Male","All ages","Region","West Midlands","West Midlands",NA,NA,79.3,79.1,79.4,"Life expectancy (years)",NA
"Life expectancy","Life expectancy","2019","Male","All ages","Region","Yorkshire and The Humber","Yorkshire and The Humber",NA,NA,78.8,78.7,79,"Life expectancy (years)",NA
"Life expectancy","Life expectancy","2019","Male","All ages","Region","Yorkshire and The Humber","Yorkshire and The Humber",NA,NA,78.8,78.7,79,"Life expectancy (years)",NA
"Life expectancy","Life expectancy","2019","Female","All ages","Region","East Midlands","East Midlands",NA,NA,83.1,83,83.3,"Life expectancy (years)",NA
"Life expectancy","Life expectancy","2019","Female","All ages","Region","East Midlands","East Midlands",NA,NA,83.1,83,83.3,"Life expectancy (years)",NA
"Life expectancy","Life expectancy","2019","Female","All ages","Region","East of England","East of England",NA,NA,84.1,84,84.3,"Life expectancy (years)",NA
"Life expectancy","Life expectancy","2019","Female","All ages","Region","East of England","East of England",NA,NA,84.1,84,84.3,"Life expectancy (years)",NA
"Life expectancy","Life expectancy","2019","Female","All ages","Region","London","London",NA,NA,85,84.9,85.2,"Life expectancy (years)",NA
"Life expectancy","Life expectancy","2019","Female","All ages","Region","London","London",NA,NA,85,84.9,85.2,"Life expectancy (years)",NA
"Life expectancy","Life expectancy","2019","Female","All ages","Region","North East","North East",NA,NA,82,81.7,82.2,"Life expectancy (years)",NA
"Life expectancy","Life expectancy","2019","Female","All ages","Region","North East","North East",NA,NA,82,81.7,82.2,"Life expectancy (years)",NA
"Life expectancy","Life expectancy","2019","Female","All ages","Region","North West","North West",NA,NA,82.2,82.1,82.4,"Life expectancy (years)",NA
"Life expectancy","Life expectancy","2019","Female","All ages","Region","North West","North West",NA,NA,82.2,82.1,82.4,"Life expectancy (years)",NA
"Life expectancy","Life expectancy","2019","Female","All ages","Region","South East","South East",NA,NA,84.5,84.4,84.6,"Life expectancy (years)",NA
"Life expectancy","Life expectancy","2019","Female","All ages","Region","South East","South East",NA,NA,84.5,84.4,84.6,"Life expectancy (years)",NA
"Life expectancy","Life expectancy","2019","Female","All ages","Region","South West","South West",NA,NA,84.5,84.4,84.6,"Life expectancy (years)",NA
"Life expectancy","Life expectancy","2019","Female","All ages","Region","South West","South West",NA,NA,84.5,84.4,84.6,"Life expectancy (years)",NA
"Life expectancy","Life expectancy","2019","Female","All ages","Region","West Midlands","West Midlands",NA,NA,83.2,83.1,83.4,"Life expectancy (years)",NA
"Life expectancy","Life expectancy","2019","Female","All ages","Region","West Midlands","West Midlands",NA,NA,83.2,83.1,83.4,"Life expectancy (years)",NA
"Life expectancy","Life expectancy","2019","Female","All ages","Region","Yorkshire and The Humber","Yorkshire and The Humber",NA,NA,82.7,82.6,82.9,"Life expectancy (years)",NA
